,donor,transconjugant
212,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
213,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 3, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
214,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 6, 'R_plasmid_molecule': 1}"
215,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 7, 'R_plasmid_molecule': 1}"
216,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 7, 'R_plasmid_molecule': 1}"
217,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 7, 'R_plasmid_molecule': 1}"
218,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 2, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 7, 'R_plasmid_molecule': 1}"
219,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 7, 'R_plasmid_molecule': 1}"
220,"{PetriNet('donor_0_net'): 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 6, 'R_plasmid_molecule': 1}"
221,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 6, 'R_plasmid_molecule': 1}"
222,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
223,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 5, 'R_plasmid_molecule': 1}"
224,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
225,"{PetriNet('donor_0_net'): 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
226,"{PetriNet('donor_0_net'): 1, 'R_protein_molecule': 1, 'R_plasmid_molecule': 1}","{PetriNet('transconjugant_0_net'): 1, 'R_protein_molecule': 4, 'R_plasmid_molecule': 1}"
