,donor,recipient
21,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
22,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T0_protein_molecule': 2, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
23,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}"
24,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_protein_molecule': 2, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
25,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T1_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
26,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1}"
27,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T2_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
28,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T1_mod_protein_molecule': 1}"
29,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T0_protein_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_protein_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_plasmid_molecule': 1}"
30,"{PetriNet('donor_0_net'): 1, 'T3_plasmid_molecule': 1, 'T4_plasmid_molecule': 1, 'T5_plasmid_molecule': 1, 'T6_plasmid_molecule': 1, 'T0_mod_protein_molecule': 1, 'T1_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T0_protein_molecule': 2, 'T0_plasmid_molecule': 1}","{PetriNet('recipient_0_net'): 1, 'T3_plasmid_molecule': 1, 'T0_plasmid_molecule': 1, 'T2_plasmid_molecule': 1, 'T1_protein_molecule': 1, 'T1_plasmid_molecule': 1}"
