,victim
501,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2548, 'TH_molecule': 2720, 'B_molecule': 2883, 'B_ACTIVE_molecule': 724, 'VOID_molecule': 239, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 664, 'B_MEMORY_molecule': 560, 'B_PLASMA_molecule': 2034, 'IGG_molecule': 288, 'B_PRESENTING_molecule': 3, 'IGM_molecule': 6, 'MP_ANTIGEN_molecule': 2}"
502,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2555, 'TH_molecule': 2728, 'B_molecule': 2890, 'B_ACTIVE_molecule': 728, 'VOID_molecule': 241, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 672, 'B_MEMORY_molecule': 570, 'B_PLASMA_molecule': 2052, 'IGG_molecule': 294, 'IGM_molecule': 4, 'MP_ANTIGEN_molecule': 3, 'B_PRESENTING_molecule': 1}"
503,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2562, 'TH_molecule': 2726, 'B_molecule': 2897, 'B_ACTIVE_molecule': 732, 'VOID_molecule': 242, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 673, 'B_MEMORY_molecule': 570, 'B_PLASMA_molecule': 2060, 'IGG_molecule': 299, 'IGM_molecule': 6, 'MP_ANTIGEN_molecule': 4, 'B_PRESENTING_molecule': 2}"
504,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2560, 'TH_molecule': 2733, 'B_molecule': 2905, 'B_ACTIVE_molecule': 737, 'VOID_molecule': 243, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 674, 'B_MEMORY_molecule': 570, 'B_PLASMA_molecule': 2068, 'IGG_molecule': 305, 'MP_ANTIGEN_molecule': 5, 'B_PRESENTING_molecule': 2, 'IGM_molecule': 5, 'ANTIGEN_molecule': 2}"
505,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2569, 'TH_molecule': 2741, 'B_molecule': 2913, 'B_ACTIVE_molecule': 741, 'VOID_molecule': 245, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 674, 'B_MEMORY_molecule': 570, 'B_PLASMA_molecule': 2076, 'IGG_molecule': 310, 'MP_ANTIGEN_molecule': 5, 'B_PRESENTING_molecule': 3, 'IGM_molecule': 5}"
506,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2577, 'TH_molecule': 2748, 'B_molecule': 2920, 'B_ACTIVE_molecule': 745, 'VOID_molecule': 245, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 682, 'B_MEMORY_molecule': 580, 'B_PLASMA_molecule': 2094, 'IGG_molecule': 317, 'MP_ANTIGEN_molecule': 6, 'B_PRESENTING_molecule': 1, 'IGM_molecule': 7}"
507,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2576, 'TH_molecule': 2755, 'B_molecule': 2927, 'B_ACTIVE_molecule': 749, 'VOID_molecule': 245, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 683, 'B_MEMORY_molecule': 580, 'B_PLASMA_molecule': 2102, 'IGG_molecule': 325, 'MP_ANTIGEN_molecule': 6, 'B_PRESENTING_molecule': 2, 'IGM_molecule': 9}"
508,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2584, 'TH_molecule': 2763, 'B_molecule': 2934, 'B_ACTIVE_molecule': 753, 'VOID_molecule': 247, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 684, 'B_MEMORY_molecule': 580, 'B_PLASMA_molecule': 2110, 'IGG_molecule': 331, 'MP_ANTIGEN_molecule': 7, 'B_PRESENTING_molecule': 3, 'IGM_molecule': 6}"
509,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2593, 'TH_molecule': 2770, 'B_molecule': 2933, 'B_ACTIVE_molecule': 757, 'VOID_molecule': 249, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 685, 'B_MEMORY_molecule': 580, 'B_PLASMA_molecule': 2118, 'IGG_molecule': 335, 'MP_ANTIGEN_molecule': 7, 'B_PRESENTING_molecule': 4, 'IGM_molecule': 4}"
510,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2600, 'TH_molecule': 2778, 'B_molecule': 2932, 'B_ACTIVE_molecule': 761, 'VOID_molecule': 250, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 692, 'B_MEMORY_molecule': 590, 'B_PLASMA_molecule': 2128, 'IGG_molecule': 331, 'MP_ANTIGEN_molecule': 8, 'B_PRESENTING_molecule': 2, 'IGM_molecule': 6, 'ANTIGEN_molecule': 1}"
511,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2607, 'TH_molecule': 2786, 'B_molecule': 2940, 'B_ACTIVE_molecule': 760, 'VOID_molecule': 251, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 693, 'B_MEMORY_molecule': 590, 'B_PLASMA_molecule': 2136, 'IGG_molecule': 338, 'MP_ANTIGEN_molecule': 9, 'B_PRESENTING_molecule': 3, 'IGM_molecule': 3}"
512,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2616, 'TH_molecule': 2794, 'B_molecule': 2939, 'B_ACTIVE_molecule': 764, 'VOID_molecule': 252, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 693, 'B_MEMORY_molecule': 590, 'B_PLASMA_molecule': 2144, 'IGG_molecule': 343, 'MP_ANTIGEN_molecule': 9, 'B_PRESENTING_molecule': 4, 'IGM_molecule': 5}"
513,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2623, 'TH_molecule': 2792, 'B_molecule': 2946, 'B_ACTIVE_molecule': 768, 'VOID_molecule': 253, 'MP_ACTIVE_molecule': 170, 'TH_ACTIVE_molecule': 701, 'B_MEMORY_molecule': 600, 'B_PLASMA_molecule': 2163, 'IGG_molecule': 351, 'MP_ANTIGEN_molecule': 10, 'B_PRESENTING_molecule': 2, 'IGM_molecule': 5, 'ANTIGEN_molecule': 2}"
514,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2621, 'TH_molecule': 2800, 'B_molecule': 2953, 'B_ACTIVE_molecule': 773, 'VOID_molecule': 255, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 702, 'B_MEMORY_molecule': 600, 'B_PLASMA_molecule': 2163, 'IGG_molecule': 347, 'B_PRESENTING_molecule': 2, 'IGM_molecule': 5, 'MP_ANTIGEN_molecule': 1}"
515,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2620, 'TH_molecule': 2807, 'B_molecule': 2962, 'B_ACTIVE_molecule': 772, 'VOID_molecule': 256, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 703, 'B_MEMORY_molecule': 600, 'B_PLASMA_molecule': 2171, 'IGG_molecule': 352, 'B_PRESENTING_molecule': 3, 'IGM_molecule': 3, 'MP_ANTIGEN_molecule': 1}"
516,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2627, 'TH_molecule': 2815, 'B_molecule': 2969, 'B_ACTIVE_molecule': 777, 'VOID_molecule': 256, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 704, 'B_MEMORY_molecule': 600, 'B_PLASMA_molecule': 2179, 'IGG_molecule': 358, 'B_PRESENTING_molecule': 3, 'MP_ANTIGEN_molecule': 2, 'IGM_molecule': 5}"
517,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2635, 'TH_molecule': 2823, 'B_molecule': 2968, 'B_ACTIVE_molecule': 777, 'VOID_molecule': 256, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 705, 'B_MEMORY_molecule': 600, 'B_PLASMA_molecule': 2180, 'IGG_molecule': 356, 'B_PRESENTING_molecule': 3, 'MP_ANTIGEN_molecule': 3, 'IGM_molecule': 3, 'ANTIGEN_molecule': 2}"
518,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2642, 'TH_molecule': 2830, 'B_molecule': 2966, 'B_ACTIVE_molecule': 781, 'VOID_molecule': 257, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 713, 'B_MEMORY_molecule': 610, 'B_PLASMA_molecule': 2189, 'IGG_molecule': 354, 'MP_ANTIGEN_molecule': 4, 'IGM_molecule': 5, 'B_PRESENTING_molecule': 1}"
519,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2649, 'TH_molecule': 2838, 'B_molecule': 2964, 'B_ACTIVE_molecule': 785, 'VOID_molecule': 259, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 714, 'B_MEMORY_molecule': 610, 'B_PLASMA_molecule': 2198, 'IGG_molecule': 360, 'MP_ANTIGEN_molecule': 5, 'IGM_molecule': 3, 'B_PRESENTING_molecule': 2}"
520,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2656, 'TH_molecule': 2846, 'B_molecule': 2972, 'B_ACTIVE_molecule': 785, 'VOID_molecule': 260, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 714, 'B_MEMORY_molecule': 610, 'B_PLASMA_molecule': 2198, 'IGG_molecule': 355, 'MP_ANTIGEN_molecule': 6, 'IGM_molecule': 2, 'B_PRESENTING_molecule': 2, 'ANTIGEN_molecule': 1}"
521,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2663, 'TH_molecule': 2854, 'B_molecule': 2980, 'B_ACTIVE_molecule': 789, 'VOID_molecule': 261, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 714, 'B_MEMORY_molecule': 610, 'B_PLASMA_molecule': 2205, 'IGG_molecule': 361, 'MP_ANTIGEN_molecule': 7, 'B_PRESENTING_molecule': 3, 'IGM_molecule': 4, 'ANTIGEN_molecule': 2}"
522,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2662, 'TH_molecule': 2852, 'B_molecule': 2979, 'B_ACTIVE_molecule': 788, 'VOID_molecule': 261, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 722, 'B_MEMORY_molecule': 620, 'B_PLASMA_molecule': 2222, 'IGG_molecule': 367, 'MP_ANTIGEN_molecule': 7, 'IGM_molecule': 1, 'B_PRESENTING_molecule': 1, 'ANTIGEN_molecule': 2}"
523,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2669, 'TH_molecule': 2859, 'B_molecule': 2987, 'B_ACTIVE_molecule': 787, 'VOID_molecule': 262, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 723, 'B_MEMORY_molecule': 620, 'B_PLASMA_molecule': 2222, 'IGG_molecule': 361, 'MP_ANTIGEN_molecule': 8, 'B_PRESENTING_molecule': 2}"
524,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2676, 'TH_molecule': 2857, 'B_molecule': 2995, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 724, 'B_MEMORY_molecule': 620, 'B_PLASMA_molecule': 2229, 'IGG_molecule': 365, 'MP_ANTIGEN_molecule': 9, 'B_PRESENTING_molecule': 3}"
525,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2684, 'TH_molecule': 2855, 'B_molecule': 3003, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 732, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2238, 'IGG_molecule': 361, 'MP_ANTIGEN_molecule': 9}"
526,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2693, 'TH_molecule': 2853, 'B_molecule': 3011, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 733, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2245, 'IGG_molecule': 366, 'MP_ANTIGEN_molecule': 9}"
527,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2702, 'TH_molecule': 2851, 'B_molecule': 3019, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 734, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2252, 'IGG_molecule': 373, 'MP_ANTIGEN_molecule': 9}"
528,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2701, 'TH_molecule': 2858, 'B_molecule': 3027, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 735, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2259, 'IGG_molecule': 378, 'MP_ANTIGEN_molecule': 9}"
529,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2710, 'TH_molecule': 2867, 'B_molecule': 3036, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 735, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2266, 'IGG_molecule': 384, 'MP_ANTIGEN_molecule': 9}"
530,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2718, 'TH_molecule': 2865, 'B_molecule': 3044, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 736, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2273, 'IGG_molecule': 391, 'MP_ANTIGEN_molecule': 9}"
531,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2718, 'TH_molecule': 2872, 'B_molecule': 3053, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 737, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2280, 'IGG_molecule': 396, 'MP_ANTIGEN_molecule': 9}"
532,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2717, 'TH_molecule': 2871, 'B_molecule': 3062, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 738, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2288, 'IGG_molecule': 403, 'MP_ANTIGEN_molecule': 9}"
533,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2725, 'TH_molecule': 2878, 'B_molecule': 3070, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 739, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2296, 'IGG_molecule': 409, 'MP_ANTIGEN_molecule': 9}"
534,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2734, 'TH_molecule': 2885, 'B_molecule': 3079, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 740, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2303, 'IGG_molecule': 416, 'MP_ANTIGEN_molecule': 9}"
535,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2743, 'TH_molecule': 2893, 'B_molecule': 3087, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 740, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2310, 'IGG_molecule': 423, 'MP_ANTIGEN_molecule': 9}"
536,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2751, 'TH_molecule': 2900, 'B_molecule': 3095, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 741, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2318, 'IGG_molecule': 430, 'MP_ANTIGEN_molecule': 9}"
537,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2750, 'TH_molecule': 2898, 'B_molecule': 3103, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 742, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2325, 'IGG_molecule': 436, 'MP_ANTIGEN_molecule': 9}"
538,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2758, 'TH_molecule': 2905, 'B_molecule': 3111, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 743, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2332, 'IGG_molecule': 443, 'MP_ANTIGEN_molecule': 9}"
539,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2757, 'TH_molecule': 2913, 'B_molecule': 3119, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 744, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2331, 'IGG_molecule': 438, 'MP_ANTIGEN_molecule': 9}"
540,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2756, 'TH_molecule': 2921, 'B_molecule': 3127, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 745, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2338, 'IGG_molecule': 445, 'MP_ANTIGEN_molecule': 9}"
541,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2764, 'TH_molecule': 2929, 'B_molecule': 3136, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 746, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2346, 'IGG_molecule': 450, 'MP_ANTIGEN_molecule': 9}"
542,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2764, 'TH_molecule': 2936, 'B_molecule': 3145, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 747, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2345, 'IGG_molecule': 447, 'MP_ANTIGEN_molecule': 9}"
543,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2772, 'TH_molecule': 2943, 'B_molecule': 3153, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 748, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2352, 'IGG_molecule': 453, 'MP_ANTIGEN_molecule': 9}"
544,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2780, 'TH_molecule': 2950, 'B_molecule': 3161, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 749, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2351, 'IGG_molecule': 449, 'MP_ANTIGEN_molecule': 9}"
545,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2780, 'TH_molecule': 2959, 'B_molecule': 3169, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 749, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2359, 'IGG_molecule': 455, 'MP_ANTIGEN_molecule': 9}"
546,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2788, 'TH_molecule': 2966, 'B_molecule': 3168, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 750, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2367, 'IGG_molecule': 460, 'MP_ANTIGEN_molecule': 9}"
547,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2797, 'TH_molecule': 2973, 'B_molecule': 3167, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 751, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2374, 'IGG_molecule': 466, 'MP_ANTIGEN_molecule': 9}"
548,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2805, 'TH_molecule': 2972, 'B_molecule': 3175, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 752, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2381, 'IGG_molecule': 471, 'MP_ANTIGEN_molecule': 9}"
549,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2814, 'TH_molecule': 2979, 'B_molecule': 3175, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 753, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2389, 'IGG_molecule': 477, 'MP_ANTIGEN_molecule': 9}"
550,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2822, 'TH_molecule': 2977, 'B_molecule': 3184, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 754, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2397, 'IGG_molecule': 483, 'MP_ANTIGEN_molecule': 9}"
551,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2821, 'TH_molecule': 2985, 'B_molecule': 3193, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 754, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2397, 'IGG_molecule': 479, 'MP_ANTIGEN_molecule': 9}"
552,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2820, 'TH_molecule': 2993, 'B_molecule': 3192, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 755, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2404, 'IGG_molecule': 487, 'MP_ANTIGEN_molecule': 9}"
553,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2820, 'TH_molecule': 3001, 'B_molecule': 3200, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 755, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2411, 'IGG_molecule': 492, 'MP_ANTIGEN_molecule': 9}"
554,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2828, 'TH_molecule': 3008, 'B_molecule': 3208, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 756, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2410, 'IGG_molecule': 488, 'MP_ANTIGEN_molecule': 9}"
555,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2836, 'TH_molecule': 3016, 'B_molecule': 3208, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 757, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2417, 'IGG_molecule': 494, 'MP_ANTIGEN_molecule': 9}"
556,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2844, 'TH_molecule': 3024, 'B_molecule': 3216, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 758, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2416, 'IGG_molecule': 490, 'MP_ANTIGEN_molecule': 9}"
557,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2843, 'TH_molecule': 3031, 'B_molecule': 3224, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 759, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2424, 'IGG_molecule': 495, 'MP_ANTIGEN_molecule': 9}"
558,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2851, 'TH_molecule': 3039, 'B_molecule': 3232, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 759, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2432, 'IGG_molecule': 503, 'MP_ANTIGEN_molecule': 9}"
559,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2859, 'TH_molecule': 3047, 'B_molecule': 3240, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 760, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2439, 'IGG_molecule': 511, 'MP_ANTIGEN_molecule': 9}"
560,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2867, 'TH_molecule': 3045, 'B_molecule': 3248, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 761, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2446, 'IGG_molecule': 516, 'MP_ANTIGEN_molecule': 9}"
561,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2875, 'TH_molecule': 3043, 'B_molecule': 3247, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 762, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2445, 'IGG_molecule': 511, 'MP_ANTIGEN_molecule': 9}"
562,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2884, 'TH_molecule': 3052, 'B_molecule': 3256, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 762, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2452, 'IGG_molecule': 518, 'MP_ANTIGEN_molecule': 9}"
563,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2893, 'TH_molecule': 3059, 'B_molecule': 3265, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 763, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2459, 'IGG_molecule': 526, 'MP_ANTIGEN_molecule': 9}"
564,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2901, 'TH_molecule': 3057, 'B_molecule': 3264, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 764, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2466, 'IGG_molecule': 532, 'MP_ANTIGEN_molecule': 9}"
565,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2900, 'TH_molecule': 3065, 'B_molecule': 3272, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 764, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2473, 'IGG_molecule': 537, 'MP_ANTIGEN_molecule': 9}"
566,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 2899, 'TH_molecule': 3073, 'B_molecule': 3280, 'B_ACTIVE_molecule': 786, 'VOID_molecule': 263, 'MP_ACTIVE_molecule': 180, 'TH_ACTIVE_molecule': 765, 'B_MEMORY_molecule': 630, 'B_PLASMA_molecule': 2481, 'IGG_molecule': 543, 'MP_ANTIGEN_molecule': 9}"
