,victim
88,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 497, 'TH_molecule': 528, 'B_molecule': 594}"
89,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 497, 'TH_molecule': 536, 'B_molecule': 602}"
90,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 506, 'TH_molecule': 544, 'B_molecule': 610}"
91,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 505, 'TH_molecule': 553, 'B_molecule': 618}"
92,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 505, 'TH_molecule': 561, 'B_molecule': 626}"
93,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 514, 'TH_molecule': 561, 'B_molecule': 634}"
94,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 522, 'TH_molecule': 569, 'B_molecule': 633}"
95,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 531, 'TH_molecule': 577, 'B_molecule': 641}"
96,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 539, 'TH_molecule': 576, 'B_molecule': 649}"
97,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 547, 'TH_molecule': 585, 'B_molecule': 657}"
98,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 547, 'TH_molecule': 594, 'B_molecule': 665}"
99,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 546, 'TH_molecule': 602, 'B_molecule': 664}"
100,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 554, 'TH_molecule': 610, 'B_molecule': 672}"
101,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 562, 'TH_molecule': 618, 'B_molecule': 680, 'ANTIGEN_molecule': 499, 'MP_ANTIGEN_molecule': 1}"
102,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 560, 'TH_molecule': 626, 'B_molecule': 678, 'ANTIGEN_molecule': 497, 'MP_ANTIGEN_molecule': 2, 'B_ACTIVE_molecule': 5, 'IGM_molecule': 5}"
103,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 558, 'TH_molecule': 634, 'B_molecule': 686, 'ANTIGEN_molecule': 496, 'MP_ANTIGEN_molecule': 3, 'B_ACTIVE_molecule': 5, 'IGM_molecule': 4}"
104,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 557, 'TH_molecule': 643, 'B_molecule': 685, 'ANTIGEN_molecule': 494, 'MP_ANTIGEN_molecule': 3, 'B_ACTIVE_molecule': 9, 'IGM_molecule': 7, 'B_PRESENTING_molecule': 1}"
105,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 555, 'TH_molecule': 652, 'B_molecule': 693, 'ANTIGEN_molecule': 487, 'MP_ANTIGEN_molecule': 4, 'B_ACTIVE_molecule': 14, 'IGM_molecule': 4, 'B_PRESENTING_molecule': 1, 'VOID_molecule': 1}"
106,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 553, 'TH_molecule': 660, 'B_molecule': 700, 'ANTIGEN_molecule': 483, 'MP_ANTIGEN_molecule': 5, 'B_ACTIVE_molecule': 18, 'IGM_molecule': 7, 'B_PRESENTING_molecule': 2, 'VOID_molecule': 1}"
107,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 560, 'TH_molecule': 668, 'B_molecule': 707, 'ANTIGEN_molecule': 475, 'MP_ANTIGEN_molecule': 6, 'B_ACTIVE_molecule': 22, 'IGM_molecule': 6, 'B_PRESENTING_molecule': 3, 'VOID_molecule': 2}"
108,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 568, 'TH_molecule': 676, 'B_molecule': 714, 'ANTIGEN_molecule': 468, 'MP_ANTIGEN_molecule': 6, 'B_ACTIVE_molecule': 26, 'IGM_molecule': 5, 'B_PRESENTING_molecule': 4, 'VOID_molecule': 3}"
109,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 568, 'TH_molecule': 675, 'B_molecule': 721, 'ANTIGEN_molecule': 467, 'MP_ANTIGEN_molecule': 6, 'B_ACTIVE_molecule': 30, 'IGM_molecule': 7, 'B_PRESENTING_molecule': 5, 'VOID_molecule': 3}"
110,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 576, 'TH_molecule': 675, 'B_molecule': 730, 'ANTIGEN_molecule': 465, 'MP_ANTIGEN_molecule': 7, 'B_ACTIVE_molecule': 29, 'IGM_molecule': 4, 'B_PRESENTING_molecule': 6, 'VOID_molecule': 3}"
111,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 584, 'TH_molecule': 674, 'B_molecule': 737, 'ANTIGEN_molecule': 462, 'MP_ANTIGEN_molecule': 8, 'B_ACTIVE_molecule': 33, 'IGM_molecule': 9, 'B_PRESENTING_molecule': 7, 'VOID_molecule': 3}"
112,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 592, 'TH_molecule': 682, 'B_molecule': 745, 'ANTIGEN_molecule': 454, 'MP_ANTIGEN_molecule': 9, 'B_ACTIVE_molecule': 32, 'IGM_molecule': 1, 'B_PRESENTING_molecule': 8, 'VOID_molecule': 4}"
113,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 600, 'TH_molecule': 691, 'B_molecule': 752, 'ANTIGEN_molecule': 453, 'MP_ANTIGEN_molecule': 9, 'B_ACTIVE_molecule': 37, 'B_PRESENTING_molecule': 8, 'VOID_molecule': 4, 'IGM_molecule': 4}"
114,"{PetriNet('hs_0_net'): 1, 'MP_molecule': 608, 'TH_molecule': 690, 'B_molecule': 751, 'ANTIGEN_molecule': 452, 'MP_ANTIGEN_molecule': 9, 'B_ACTIVE_molecule': 37, 'B_PRESENTING_molecule': 8, 'VOID_molecule': 4, 'IGM_molecule': 2}"
